,TUT,Intentionality,Awareness,FMT,Disengagement,Valence,Arousal,Boredom
Study 001,True,False,False,False,False,False,False,False
Study 002,True,False,False,False,False,False,False,False
Study 003,True,False,True,True,True,False,False,False
Study 004,True,False,True,True,True,False,False,False
Study 005,True,False,False,False,True,False,False,False
Study 006,True,False,False,False,False,True,True,False
Study 007,True,False,False,False,True,True,False,True
Study 008,True,False,False,False,True,True,False,True
Study 009,True,False,False,True,True,True,False,False
Study 010,True,False,False,False,True,True,True,True
Study 011,True,False,False,False,True,True,True,True
Study 012,True,False,False,False,True,True,False,True
Study 013,True,False,False,False,True,True,False,True
Study 014,True,False,False,False,True,True,True,True
Study 015,True,False,False,False,True,True,True,True
Study 016,True,False,False,False,True,True,False,False
Study 017,True,False,False,False,True,True,True,True
Study 018,True,False,False,False,True,True,False,False
Study 019,True,False,False,False,False,True,False,False
Study 020,True,False,False,False,False,False,False,False
