StudyNum,n_rows,n_participants,probes_per_participant,task_type,TUT_available,TUT_n,TUT_pct,Intentionality_available,Intentionality_n,Intentionality_pct,Awareness_available,Awareness_n,Awareness_pct,FMT_available,FMT_n,FMT_pct,Disengagement_available,Disengagement_n,Disengagement_pct,Valence_available,Valence_n,Valence_pct,Arousal_available,Arousal_n,Arousal_pct,Boredom_available,Boredom_n,Boredom_pct,n_gaze_features,gaze_features,ExpSetting,Lighting,DeviceType,IOS,EyeTrackerType,RefreshRate,SamplingRate,TaskType
1,2250,75,30.0,2,True,2250,100.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,,2.0,2,60.0,,2
2,4950,165,30.0,1,True,4950,100.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,,1.0,2,,,1
3,301,43,7.0,2,True,301,100.0,False,0,0.0,True,301,100.0,True,301,100.0,True,301,100.0,False,0,0.0,False,0,0.0,False,0,0.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",3,1.0,,1.0,2,,,2
4,2373,339,7.0,2,True,2373,100.0,False,0,0.0,True,2373,100.0,True,2373,100.0,True,2373,100.0,False,0,0.0,False,0,0.0,False,0,0.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,,1.0,2,,,2
5,154,154,1.0,3,True,154,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,154,100.0,False,0,0.0,False,0,0.0,False,0,0.0,5,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion",2,1.0,,,2,,,3
6,516,129,4.0,1,True,516,100.0,False,0,0.0,False,0,0.0,False,0,0.0,False,0,0.0,True,516,100.0,True,516,100.0,False,0,0.0,5,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion",2,1.0,,2.0,2,,,1
7,719,155,4.6,4,True,719,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,719,100.0,True,719,100.0,False,0,0.0,True,719,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,,2,,,4
8,300,60,5.0,4,True,300,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,300,100.0,True,300,100.0,False,0,0.0,True,300,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",4,1.0,2.0,,2,,,4
9,536,113,4.7,4,True,536,100.0,False,0,0.0,False,0,0.0,True,536,100.0,True,536,100.0,True,536,100.0,False,0,0.0,False,0,0.0,1,Fixations,1,1.0,1.0,,1,,30.0,4
10,1035,207,5.0,4,True,1035,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,1035,100.0,True,1035,100.0,True,1035,100.0,True,1035,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
11,1344,224,6.0,4,True,1344,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,1344,100.0,True,1344,100.0,True,1344,100.0,True,1344,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
12,1365,273,5.0,4,True,1365,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,1365,100.0,True,1365,100.0,False,0,0.0,True,1365,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
13,805,161,5.0,4,True,805,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,805,100.0,True,805,100.0,False,0,0.0,True,805,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
14,480,160,3.0,4,True,480,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,480,100.0,True,480,100.0,True,480,100.0,True,480,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
15,894,149,6.0,4,True,894,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,894,100.0,True,894,100.0,True,894,100.0,True,894,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
16,171,171,1.0,3,True,171,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,171,100.0,True,171,100.0,False,0,0.0,False,0,0.0,3,"Gazes, OffscreenGazes, OffScreenGazeProportion",2,1.0,2.0,1.0,2,,,3
17,1225,245,5.0,4,True,1225,100.0,False,0,0.0,False,0,0.0,False,0,0.0,True,1225,100.0,True,1225,100.0,True,1225,100.0,True,1225,100.0,7,"Gazes, UniqueGazes, UniqueGazeProportion, OffscreenGazes, OffScreenGazeProportion, AOIGazes, AOIGazeProportion",2,1.0,2.0,1.0,2,,,4
